Date,E_Station,Ag_E,Ag_Pf,Ag_Ff,Ag_Lf,Ag_Hg,Ag_Sg,Ag_G,Ag_Nclass,Af_E,Af_Pf,Af_Ff,Af_Lf,Af_Hg,Af_Sg,Af_G,Af_Nclass,sumFemales
02/12/1970,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02/12/1970,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,907,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
02/12/1970,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
02/12/1970,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/1970,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/1970,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
