"mpcw","msw","date","e_station","sleeper_ad","sleeper_ch","fire","ag_male","ag_e","ag_pf","ag_ff","ag_lf","ag_hg","ag_sg","ag_g","ag_nclass","af_male","af_e","af_pf","af_ff","af_lf","af_hg","af_sg","af_g","af_nclass","ap_male","ap_female","ar_male","ar_female","n_anoph","ag_neg","ag_pos","ag_nc","af_neg","af_pos","af_nc"
2,2,4/11/1970 00:00:00,101,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2,2,4/11/1970 00:00:00,102,2,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0
2,2,4/11/1970 00:00:00,103,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
2,2,4/11/1970 00:00:00,104,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,4/11/1970 00:00:00,105,1,1,2,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0
2,2,4/11/1970 00:00:00,106,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4/11/1970 00:00:00,107,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4/11/1970 00:00:00,108,2,2,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2,0,0,1,0,0,0,2,2,0,0,0,0,4,0,0
2,2,4/11/1970 00:00:00,109,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4/11/1970 00:00:00,110,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
2,2,4/11/1970 00:00:00,111,2,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,3,0,0
2,2,3/11/1970 00:00:00,201,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
